zi_baseinstrument_dev30577_sigouts0_amplitudes1_value,count,Theta,X
0.001,102.102102102102,-4.20221633895041,7.36691416678093e-06
0.001,103.103103103103,-0.818093346398777,7.47495710982164e-06
0.001,104.104104104104,-0.462906930503518,7.50920700924878e-06
0.001,105.105105105105,-4.34053804410965,7.01527754349325e-06
0.001,106.106106106106,0.827286032347089,7.26887088658108e-06
0.001,107.107107107107,-0.167889660731313,7.48756718821198e-06
0.001,108.108108108108,-0.956418379549781,6.9846520270486e-06
0.001,109.109109109109,-1.45908779268157,7.34645334349782e-06
0.001,110.11011011011,-0.0764928635536128,7.57054490329264e-06
0.001,111.111111111111,0.776113421742859,7.88769659108791e-06
0.001,112.112112112112,-2.19674232429994,6.77602157657577e-06
0.001,113.113113113113,-1.22266848224181,6.96197034199433e-06
0.001,114.114114114114,-0.0402828366013964,7.44241782895349e-06
0.001,115.115115115115,-3.04575496262033,6.74444364137289e-06
0.001,116.116116116116,-1.86083106989394,7.02915324587323e-06
0.001,117.117117117117,-6.27024190322053,7.26040535969649e-06
0.001,118.118118118118,6.79075545542575,7.68028936179635e-06
0.001,119.119119119119,-3.94567912181848,7.32912592331073e-06
0.001,120.12012012012,-3.52894451627763,6.92593365165022e-06
0.001,121.121121121121,-1.908732358969,6.68479046611172e-06
0.001,122.122122122122,-2.84018486534287,7.42970902601899e-06
0.001,123.123123123123,2.17230360601563,7.75508339358993e-06
0.001,124.124124124124,3.13607549636302,7.08084103596192e-06
0.001,125.125125125125,-0.580770369631413,6.87129780924561e-06
0.001,126.126126126126,-2.32577930438561,7.00304944275621e-06
0.001,127.127127127127,2.38910516772564,7.49730362475484e-06
0.001,128.128128128128,0.742155179431403,7.19364031728796e-06
0.001,129.129129129129,-2.29309212010623,7.33884010131568e-06
0.001,130.13013013013,-0.348711890905587,7.52608755551767e-06
0.001,131.131131131131,4.11497166669542,7.54846267179115e-06
0.001,132.132132132132,-3.23290006176777,6.80952631418479e-06
0.001,133.133133133133,-2.32074221542857,6.9891054965212e-06
0.001,134.134134134134,3.07592261954962,6.73462844836737e-06
0.001,135.135135135135,-1.87041792730784,7.15550363079546e-06
0.001,136.136136136136,-2.66861363071818,7.59100948527345e-06
0.001,137.137137137137,-1.4974310689694,7.47418804503536e-06
0.001,138.138138138138,1.40945682700336,6.97234793014253e-06
0.001,139.139139139139,-2.32455963507485,7.55449514667375e-06
0.001,140.14014014014,-3.67963105420011,7.70932847289491e-06
0.001,141.141141141141,2.84974410199056,7.42944262831982e-06
0.001,142.142142142142,-5.19667117797994,7.16642206030424e-06
0.001,143.143143143143,-5.84654006721614,6.27298402281869e-06
0.001,144.144144144144,-3.55612242569002,7.20437691979572e-06
0.001,145.145145145145,5.38456430454384,7.00986572356761e-06
0.001,146.146146146146,0.771440146172682,7.21855637193321e-06
0.001,147.147147147147,1.57676035037867,7.53511271725132e-06
0.001,148.148148148148,-1.46790934862381,6.55759601863825e-06
0.001,149.149149149149,-5.98950428292339,7.12666490526778e-06
0.001,150.15015015015,-3.98243005007765,7.60389036608681e-06
0.001,151.151151151151,1.15362490171406,7.38899310942194e-06
0.001,152.152152152152,-3.97896392704977,6.7126215082791e-06
0.001,153.153153153153,3.22430527908611,7.63321948420444e-06
0.001,154.154154154154,-3.35470241975215,7.36379667942046e-06
0.001,155.155155155155,0.5306797547688,6.87727948297967e-06
0.001,156.156156156156,0.59787383006352,7.06518940765048e-06
0.001,157.157157157157,4.183299594733,7.37284650760774e-06
0.001,158.158158158158,-4.10645315646252,6.93292253890735e-06
0.001,159.159159159159,-2.22102459232286,7.65150208344338e-06
0.001,160.16016016016,6.20330311199786,7.67006411836413e-06
0.001,161.161161161161,2.53990755051284,7.64948736274897e-06
0.001,162.162162162162,-1.95865310837048,6.95897712657642e-06
0.001,163.163163163163,-7.15398094008446,5.98744409850556e-06
0.001,164.164164164164,-4.44020075870231,7.32414705837589e-06
0.001,165.165165165165,0.180665705905414,7.32411146820709e-06
0.001,166.166166166166,-4.03950582549797,7.14722962130439e-06
0.001,167.167167167167,-2.38556802305242,7.45139694664037e-06
0.001,168.168168168168,-0.379721695030935,8.00128760684571e-06
0.001,169.169169169169,-2.82565504653383,7.49409457786769e-06
